GA10058-RC 	7448091	7446462	7449721
GA15598-RA 	7873221	7860639	7885803
GA12217-RB 	9289952	9288756	9291148
GA19508-RA 	9335037	9333104	9336971
GA14897-RB 	9461620	9457016	9466224
GA14205-RA 	9462917	9462683	9463152
GA11597-RA 	9643141	9642749	9643534
GA12123-RA 	9653796	9650532	9657061
GA24221-RA 	9719418	9719121	9719715
GA17315-RB 	9871357	9842369	9900345
GA21294-RC 	9940101	9936679	9943523
GA21180-RB 	10002676	10002231	10003121
GA15365-RA 	10046803	10039999	10053607
GA20915-RA 	10155213	10152818	10157609
GA24970-RB 	10160164	10159329	10161000
GA30467-RL 	10173223	10164423	10182024
GA12118-RD 	10217868	10216544	10219192
GA24963-RB 	10228590	10228020	10229160
GA20567-RA 	10255622	10254480	10256765
GA24959-RA 	10257253	10256875	10257631
GA25591-RB 	10264183	10263874	10264492
GA30469-RA 	10277948	10266937	10288960
GA10189-RA 	10459815	10459024	10460607
GA14202-RA 	10496678	10496284	10497072
GA31514-RA 	10635376	10635075	10635678
GA30473-RB 	10950039	10949411	10950667
GA14906-RC 	11079576	11078663	11080489
GA14015-RA 	11205296	11204341	11206251
GA13511-RA 	11207206	11206308	11208104
GA13509-RA 	11221070	11219945	11222196
GA21177-RC 	11249294	11231383	11267205
GA10776-RC 	11340683	11339923	11341444
GA14054-RC 	11360239	11358862	11361616
GA15267-RD 	11378929	11374637	11383221
GA14042-RB 	11388845	11387869	11389822
GA14982-RA 	12268391	12268055	12268728
GA14980-RA 	12269791	12269423	12270159
GA19086-RA 	12388099	12386515	12389684
GA14224-RA 	12866277	12862988	12869567
GA24875-RA 	12995298	12993586	12997010
GA10653-RB 	13028131	13012319	13043944
GA15654-RA 	13061930	13059025	13064835
GA18304-RB 	13192812	13190948	13194676
GA17236-RA 	13208507	13208109	13208906
GA15675-RA 	13210634	13210399	13210870
GA17246-RK 	13322461	13295771	13349151
GA32680-RA 	13562996	13562332	13563660
GA11199-RA 	13902297	13901604	13902991
GA24314-RD 	13938247	13929429	13947066
GA24315-RA 	13964260	13959940	13968580
GA11808-RA 	13975322	13969773	13980871
GA24852-RA 	13988049	13987683	13988416
GA15037-RA 	13998831	13994630	14003033
GA11198-RA 	14003908	14003503	14004313
GA24317-RB 	14045750	14044343	14047158
GA11193-RB 	14048241	14047178	14049305
GA20811-RC 	14057666	14054403	14060929
GA20889-RA 	14070044	14069435	14070653
GA20888-RA 	14088404	14087225	14089584
GA15336-RA 	14140078	14138326	14141830
GA24319-RA 	14147556	14146888	14148225
GA30493-RA 	14216730	14216624	14216836
GA32722-RA 	14217207	14216965	14217450
GA15707-RB 	14312202	14308783	14315622
GA10897-RA 	14322052	14320713	14323392
GA24835-RA 	14377074	14375800	14378349
GA15169-RB 	14432085	14431465	14432705
GA32227-RA 	14481584	14480907	14482261
GA30498-RA 	14515876	14514669	14517084
GA30497-RD 	14517040	14509030	14525051
GA15198-RA 	14541785	14533180	14550391
GA24831-RA 	14541999	14540929	14543070
GA10731-RA 	14585970	14584599	14587341
GA15827-RA 	14637801	14637553	14638050
GA22054-RB 	14645974	14643473	14648475
GA12360-RA 	14700631	14700451	14700812
GA12361-RA 	14724126	14723833	14724420
GA21934-RA 	14761941	14761135	14762747
GA18405-RA 	14766064	14763737	14768391
GA10291-RF 	14780309	14775656	14784963
GA10840-RD 	14908678	14903175	14914181
GA11024-RA 	15533139	15532432	15533847
