GA21021-RA 	7919014	7916544	7921484
GA10035-RA 	8341817	8331101	8352533
GA15757-RA 	8395950	8392231	8399670
GA24338-RB 	8539319	8516773	8561865
GA10804-RB 	8607405	8607086	8607725
GA10784-RB 	8610053	8603638	8616469
GA24824-RA 	8627696	8624521	8630871
GA12286-RA 	8627778	8626848	8628709
GA14121-RA 	8639136	8637074	8641199
GA24337-RA 	8664012	8658460	8669565
GA10291-RF 	8956282	8951629	8960936
GA22054-RB 	9090618	9088117	9093119
GA15198-RA 	9194806	9186201	9203412
GA30497-RD 	9219551	9211541	9227562
GA30498-RA 	9220715	9219508	9221923
GA15226-RB 	9264747	9263814	9265681
GA24317-RB 	9690841	9689434	9692249
GA24315-RA 	9772332	9768012	9776652
GA15636-RA 	9779594	9777384	9781804
GA17246-RK 	10414131	10387441	10440821
GA15677-RB 	10525384	10525197	10525571
GA11666-RB 	12788831	12788048	12789614
GA21292-RA 	13730411	13729691	13731132
GA11592-RA 	13735771	13734636	13736906
GA24229-RA 	13741445	13740277	13742614
GA24228-RD 	13744862	13743712	13746013
GA24975-RG 	13747557	13746392	13748723
GA12123-RA 	14082795	14079531	14086060
GA11599-RA 	14090129	14089708	14090550
GA24204-RA 	14583116	14582555	14583678
GA14566-RA 	14768721	14768064	14769378
GA12324-RB 	15426881	15426236	15427526
GA12328-RA 	15430582	15429967	15431197
GA15816-RA 	15432049	15431409	15432690
GA30448-RA 	15438577	15438163	15438992
GA24180-RA 	15467918	15441193	15494644
